Fixation performance of run "fullfield_StimSize4dot75_tr2_images", which finished on 22-Mar-2019 13:19:45:
percent correct: 100.0 %, reaction time: 0.6 secs
Fixation performance of run "fullfield_StimSize4dot75_r2degree_center_tr2_images", which finished on 22-Mar-2019 13:26:06:
percent correct: 100.0 %, reaction time: 0.6 secs
Fixation performance of run "wedgeringsaltnojump_StimSize4dot75_r2degree_center_tr2_images", which finished on 22-Mar-2019 13:32:51:
percent correct: 96.0 %, reaction time: 0.6 secs
Fixation performance of run "eightbars_blanks_StimSize4dot75_r2degree_center_tr2_images", which finished on 22-Mar-2019 13:39:44:
percent correct: 100.0 %, reaction time: 0.6 secs
Fixation performance of run "wedgeringsaltnojump_StimSize4dot75_r2degree_center_tr2_images", which finished on 22-Mar-2019 13:49:36:
percent correct: 100.0 %, reaction time: 0.6 secs
Fixation performance of run "eightbars_blanks_StimSize4dot75_r2degree_center_tr2_images", which finished on 22-Mar-2019 13:56:35:
percent correct: 100.0 %, reaction time: 0.5 secs
